Descrição;Preço;TotalReviews;Loja;Categoria;Processador
Notebook Lenovo Ideapad Core I3-10110u 12gb 1tbssd+1tb 15,6;6499.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 12gb 512ssd+1tb 15,6;4949.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 4gb 1tbssd+2tb 15,6 Hd;5249.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 20gb 2tb Ssd 15,6 Hd;4549.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 20gb 512ssd+1tb 15,6;4549.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 20gb 128ssd+1tb 15,6 Hd;3585.5;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 8gb 1tbssd+2tb 15,6;4131.9;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 20gb 256 Ssd 15,6 Hd;6349.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 4gb 512ssd+1tb 15,6 Hd;3999.0;0.0;Casas Bahia;Notebook;i3
Notebook Samsung E30 Tela 15.6 Intel i3 SSD256 4GBRAM Linux;4749.0;0.0;Casas Bahia;Notebook;i3
Notebook ASUS X543UA-GQ3430T, Intel Core i3 - 7020U, 4GB, 256GB SSD - Cinza Escuro;4199.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 20gb 1tb Ssd Tela 15,6 Hd;5199.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 20gb 128ssd+1tb 15,6;4799.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 12gb 256ssd+2tb 15,6;7449.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 12gb 128ssd+1tb 15,6;4699.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 4gb 1tb Ssd 15,6 Hd;6699.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 12gb 128ssd+2tb 15,6 Hd;7299.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 20gb 2tb Ssd Tela 15,6 Hd;6349.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 8gb 1tbssd+1tb 15,6;5949.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 4gb 2tb Ssd 15,6 Hd;6049.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 20gb 1tb Ssd 15,6 Hd;6499.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 8gb 256ssd+1tb 15,6 Hd;5749.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 8gb 1tbssd+2tb 15,6 Hd;4549.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 12gb 256 Ssd Tela 15,6 Hd;4349.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 20gb 128 Ssd 15,6 Hd;6299.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 12gb 128ssd+1tb 15,6 Hd;3749.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 4gb 128 Ssd 15,6 Hd;4699.0;0.0;Casas Bahia;Notebook;i3
Notebook Lenovo Ideapad Core I3-10110u 4gb 128ssd+2tb 15,6;4849.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 4gb 128 Ssd Tela 15,6 Hd;4299.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 20gb 256 Ssd Tela 15,6 Hd;4199.0;0.0;Casas Bahia;Notebook;i3
Notebook Acer A315 Core I3-1005g1 12gb 512ssd+1tb 15,6 Hd;3899.0;0.0;Casas Bahia;Notebook;i3
